staff_id,attendance_percentage,avg_working_hours,avg_minutes_late,logbook_submissions,task_completion_rate,feedback_score,salary_credit_score
EMP067,82,7.8,24,8,0.54,2.9,47.8
EMP068,96,7.7,10,0,0.53,3.9,52.4
EMP069,96,8.3,4,10,0.67,3.9,59.3
EMP070,69,7.1,14,2,0.89,4.4,52.0
EMP071,69,8.3,4,3,0.85,4.6,55.4
EMP072,78,7.0,11,13,0.89,3.6,55.8
EMP073,76,5.3,4,6,0.76,3.3,48.7
EMP074,80,6.6,16,9,0.72,3.1,50.1
EMP075,73,7.0,16,3,0.57,3.0,44.8
EMP076,68,7.9,23,1,0.66,2.6,45.4
EMP077,60,5.4,11,6,0.72,3.4,43.2
EMP078,72,5.6,23,5,0.54,3.2,40.8
EMP079,63,6.1,27,2,0.61,4.9,41.4
EMP080,60,6.1,14,5,0.8,3.9,46.0
EMP081,99,7.9,14,10,0.87,3.4,61.2
EMP082,91,6.0,5,14,1.0,4.0,60.8
EMP083,93,7.5,11,5,0.97,2.8,59.8
EMP084,87,7.0,26,11,0.82,3.6,54.0
EMP085,90,7.3,28,4,0.71,4.1,52.0
EMP086,67,8.4,19,3,0.82,3.7,51.4
EMP087,98,6.6,17,9,0.89,3.5,58.2
EMP088,85,8.1,13,11,0.56,5.0,53.9
EMP089,93,6.7,1,14,0.7,4.7,58.0
EMP090,62,6.4,8,0,0.92,4.1,49.6
EMP091,71,8.8,30,9,0.69,3.9,50.3
EMP092,60,5.7,4,5,0.79,4.1,46.7
EMP093,64,5.4,19,1,0.79,3.0,43.0
EMP094,89,8.1,25,12,0.59,3.5,52.4
EMP095,89,5.3,28,2,0.68,2.6,45.3
EMP096,76,8.3,0,13,0.67,3.7,55.3
EMP097,82,6.7,22,7,0.51,3.9,46.1
EMP098,74,8.7,2,9,0.51,3.1,50.7
EMP099,96,7.9,5,13,0.92,4.9,65.0
EMP100,80,7.4,4,13,0.64,4.8,54.4
EMP101,73,8.8,20,5,0.76,4.3,53.4
EMP102,61,6.6,26,2,0.65,3.8,41.8
EMP103,70,8.8,4,15,0.97,4.7,61.6
EMP104,98,5.5,0,6,0.63,2.8,52.1
EMP105,97,6.9,16,3,0.71,4.5,55.0
EMP106,93,6.1,18,13,0.94,2.8,57.0
EMP107,97,7.2,13,8,0.92,4.5,61.2
EMP108,93,5.6,11,14,0.59,3.2,50.6
EMP109,77,8.4,9,4,0.9,4.7,58.2
EMP110,89,8.4,19,2,0.73,4.9,56.1
EMP111,74,8.8,20,1,0.74,2.9,51.0
EMP112,86,5.6,17,10,0.57,3.7,47.3
EMP113,93,7.5,23,1,0.54,5.0,50.8
EMP114,97,6.9,26,2,0.86,3.7,55.4
EMP115,92,6.4,10,1,0.75,4.7,54.2
EMP116,83,6.4,29,13,0.72,4.0,50.2
EMP117,74,6.7,1,3,0.86,3.4,53.0
EMP118,89,7.8,24,1,0.88,3.2,55.3
EMP119,76,7.4,17,15,0.58,3.0,48.8
EMP120,64,6.8,28,9,0.81,4.4,47.8
EMP121,88,5.3,24,8,0.57,3.5,45.5
EMP122,63,5.3,6,1,0.88,3.8,47.0
EMP123,69,5.0,30,8,0.83,3.7,44.7
EMP124,76,8.9,23,12,0.98,3.9,59.2
EMP125,69,5.0,14,5,0.53,4.7,41.4
EMP126,76,5.4,10,0,0.53,5.0,43.9
EMP127,79,6.3,17,3,0.64,3.5,46.7
EMP128,83,8.2,22,14,0.63,4.6,53.8
EMP129,64,8.8,11,13,0.62,4.4,51.4
EMP130,93,8.2,5,0,0.95,3.9,61.8
EMP131,65,7.8,19,13,0.62,4.9,48.9
EMP132,61,7.1,22,15,0.64,3.0,45.0
EMP133,72,5.3,29,5,0.88,2.8,45.6
EMP134,70,8.8,12,13,0.72,4.6,54.9
EMP135,82,8.0,19,12,0.89,3.6,57.4
EMP136,75,7.6,15,3,0.53,4.6,47.5
EMP137,90,8.0,17,2,0.74,4.7,55.8
EMP138,70,7.9,9,2,0.52,2.7,45.4
EMP139,75,7.5,27,8,0.53,4.7,46.6
EMP140,67,8.9,22,5,0.95,3.6,54.8
EMP141,63,8.6,7,8,0.57,3.8,48.7
EMP142,99,7.6,17,12,0.77,4.1,59.3
EMP143,63,7.8,20,4,0.71,4.8,48.2
EMP144,84,5.2,0,1,0.67,2.5,47.5
EMP145,62,7.7,22,7,0.95,3.7,51.7
EMP146,91,5.2,7,4,0.51,4.2,47.3
EMP147,62,7.4,28,1,0.83,4.3,47.2
EMP148,86,9.0,5,3,0.98,4.2,63.2
EMP149,88,7.2,4,8,0.78,2.8,55.8
EMP150,91,6.9,14,14,0.97,3.2,59.8
EMP151,78,6.3,21,3,0.53,3.4,43.6
EMP152,80,5.5,14,12,0.71,4.5,50.0
EMP153,64,7.9,1,11,0.63,3.2,49.7
EMP154,77,5.8,0,11,0.87,3.0,53.4
EMP155,87,5.5,22,15,0.99,4.9,57.2
EMP156,81,6.7,22,15,0.63,2.5,48.4
EMP157,80,8.2,25,15,0.83,5.0,57.2
EMP158,65,8.0,10,11,0.6,4.2,49.2
EMP159,60,5.2,9,12,0.78,4.6,46.6
EMP160,64,6.8,29,14,0.73,3.2,45.8
EMP161,100,7.1,17,13,0.99,2.5,61.6
EMP162,71,7.6,17,3,0.8,4.3,51.3
EMP163,85,7.6,16,1,0.67,4.6,52.3
EMP164,93,6.5,25,12,0.56,4.4,50.5
EMP165,73,7.2,7,11,0.58,2.9,48.3
EMP166,85,6.9,14,14,0.61,4.4,52.3
EMP167,86,8.5,7,5,0.63,4.4,55.4
EMP168,68,7.1,16,15,0.93,4.1,54.5
EMP169,85,6.8,11,12,0.78,4.4,55.6
EMP170,81,6.6,26,10,0.76,4.6,51.4
EMP171,89,7.3,7,13,0.56,4.0,53.6
EMP172,76,8.2,24,1,0.93,2.7,53.3
EMP173,85,7.2,13,11,0.86,3.7,56.8
EMP174,95,7.6,3,6,0.53,2.7,53.0
EMP175,60,8.0,0,2,0.85,3.5,51.9
EMP176,67,7.1,0,14,0.77,3.5,52.6
EMP177,94,6.7,18,2,0.54,2.7,48.1
EMP178,74,8.5,30,4,0.73,3.4,49.8
EMP179,81,6.7,15,2,0.74,2.8,49.4
EMP180,73,6.8,13,1,0.58,4.5,46.2
EMP181,85,9.0,20,9,0.97,4.9,62.4
EMP182,87,5.0,15,8,0.92,2.7,52.2
EMP183,82,5.7,4,1,0.83,4.9,53.0
EMP184,73,6.5,8,13,0.73,3.8,51.0
EMP185,83,8.7,25,10,0.71,3.2,53.8
EMP186,61,5.3,29,1,0.83,2.7,41.0
EMP187,85,5.0,27,12,0.77,3.8,48.8
EMP188,73,5.2,1,14,0.53,4.5,46.4
EMP189,66,5.4,17,7,0.76,4.3,45.6
EMP190,62,5.2,5,14,0.9,2.6,48.6
EMP191,82,6.9,30,8,0.73,2.7,48.7
EMP192,77,7.3,8,6,0.53,3.5,48.0
EMP193,97,6.1,0,2,0.89,3.2,57.9
EMP194,94,6.6,8,8,0.6,3.1,52.2
EMP195,74,5.4,24,2,0.63,3.2,41.9
EMP196,84,6.3,15,4,0.58,4.5,48.2
EMP197,96,7.1,12,8,0.67,4.8,56.2
EMP198,87,7.9,8,11,0.88,3.5,59.6
EMP199,69,5.0,20,13,0.76,4.8,46.8
EMP200,98,6.9,12,13,0.6,3.3,54.4
EMP201,76,6.2,30,2,0.94,3.7,49.8
EMP202,98,8.4,8,6,0.94,3.1,63.2
EMP203,81,7.9,10,15,0.94,4.1,60.4
EMP204,85,7.4,3,15,0.62,4.9,55.9
EMP205,84,6.1,1,11,0.73,4.0,53.9
EMP206,76,8.6,28,0,0.99,3.4,55.2
EMP207,72,5.2,5,3,0.89,4.1,50.2
EMP208,79,5.4,13,3,0.51,2.8,42.2
EMP209,84,6.6,3,6,0.53,4.7,50.3
EMP210,63,5.5,5,7,0.73,3.8,45.8
EMP211,69,8.8,18,0,0.95,3.6,54.8
EMP212,62,8.2,5,4,0.77,4.0,51.4
EMP213,100,6.0,1,6,0.75,4.1,57.2
EMP214,77,7.4,17,11,0.55,2.7,47.4
EMP215,95,8.9,12,3,0.83,4.2,61.2
EMP216,81,8.5,8,12,0.91,3.1,59.8
EMP217,93,7.4,22,3,0.69,4.3,53.4
EMP218,67,8.6,18,3,0.89,4.6,54.3
EMP219,99,9.0,12,11,0.98,4.5,67.2
EMP220,78,8.0,10,5,0.6,3.9,50.9
EMP221,100,5.3,0,6,0.76,3.8,55.8
EMP222,96,6.6,23,1,0.64,2.9,49.6
EMP223,65,8.4,29,14,0.9,4.4,53.9
EMP224,85,5.9,21,4,0.79,3.2,49.7
EMP225,93,8.3,6,3,0.82,3.7,59.6
EMP226,65,5.5,24,14,0.9,3.2,47.7
EMP227,96,5.2,20,13,0.7,2.8,50.8
EMP228,92,6.5,14,15,0.96,4.1,60.2
EMP229,81,5.1,0,12,0.77,2.6,50.8
EMP230,80,8.8,11,2,0.58,4.4,52.4
EMP231,65,8.3,25,6,0.85,3.3,50.6
EMP232,65,8.2,6,10,0.9,2.5,54.2
EMP233,63,7.5,14,11,0.66,3.8,47.8
EMP234,89,5.9,20,5,0.93,2.6,53.2
EMP235,70,7.1,18,13,0.95,3.2,53.8
EMP236,89,7.4,27,6,0.64,4.3,51.3
EMP237,90,7.1,28,4,0.99,2.7,55.8
EMP238,83,6.0,24,12,0.57,4.6,47.6
EMP239,68,7.1,0,5,0.6,2.5,46.7
EMP240,62,7.0,16,4,0.59,3.1,42.8
EMP241,90,9.0,16,13,0.95,4.4,64.1
EMP242,99,8.6,2,6,0.83,3.3,62.8
EMP243,96,6.9,11,1,0.58,2.8,50.8
EMP244,95,7.5,5,13,0.72,3.4,58.4
EMP245,83,8.0,25,10,0.81,3.2,54.4
EMP246,90,5.1,10,4,0.54,4.6,47.4
EMP247,65,8.6,2,5,0.94,3.3,56.2
EMP248,61,8.4,7,5,0.9,4.5,54.5
EMP249,79,6.8,13,14,0.75,4.7,53.9
EMP250,87,6.6,13,4,0.98,3.6,57.0
EMP251,70,6.1,9,9,0.71,4.8,49.1
EMP252,63,6.9,1,6,0.99,3.4,53.8
EMP253,74,5.2,13,9,0.83,4.9,50.2
EMP254,65,8.4,8,7,0.82,2.7,52.4
EMP255,89,5.1,2,6,0.58,4.2,49.2
EMP256,97,6.3,20,4,0.94,3.7,57.2
EMP257,61,8.7,25,0,0.71,3.5,46.6
EMP258,74,7.9,7,12,0.58,4.1,51.4
EMP259,70,6.1,15,4,0.51,4.3,42.8
EMP260,67,6.0,1,9,0.78,2.5,48.5
EMP261,85,5.0,5,1,0.76,2.9,48.8
EMP262,64,7.8,27,12,0.86,4.3,51.4
EMP263,65,5.2,20,4,0.95,4.2,47.7
EMP264,85,7.1,28,4,0.54,4.9,47.8
EMP265,63,8.8,25,1,0.87,4.4,51.6
EMP266,78,5.4,24,4,0.59,4.9,44.2
EMP267,79,8.6,11,12,0.93,4.3,60.6
EMP268,92,9.0,4,15,0.91,3.2,64.8
EMP269,79,5.2,1,3,0.77,2.8,48.8
EMP270,71,8.5,15,0,0.86,4.5,54.2
EMP271,60,7.1,4,2,0.66,4.1,46.3
EMP272,85,8.6,14,0,0.74,2.6,53.8
EMP273,73,7.3,11,11,0.91,3.4,55.0
EMP274,97,7.6,3,10,0.73,4.9,60.5
EMP275,96,7.2,14,14,0.68,3.8,56.5
EMP276,70,8.5,10,4,0.75,3.6,52.4
EMP277,95,7.9,15,3,0.91,3.6,59.7
EMP278,72,7.1,22,15,0.67,3.0,48.3
EMP279,62,8.5,5,6,0.59,3.4,48.2
EMP280,92,6.0,13,4,0.86,3.4,54.4
EMP281,65,5.6,17,9,0.91,2.6,47.5
EMP282,69,5.6,11,13,0.55,4.4,44.8
EMP283,64,6.3,26,3,0.62,3.5,41.2
EMP284,82,6.0,10,1,0.57,4.6,47.2
EMP285,69,8.7,12,3,0.67,4.6,51.4
EMP286,61,5.4,20,15,0.73,3.0,43.6
EMP287,72,7.8,22,11,0.87,4.1,54.0
EMP288,99,5.8,10,1,0.83,3.7,55.4
EMP289,61,8.5,22,7,0.81,4.7,51.2
EMP290,79,8.8,15,2,0.68,3.0,52.1
EMP291,60,6.9,14,8,0.92,4.2,50.9
EMP292,96,8.5,20,12,0.74,4.0,59.2
EMP293,68,5.0,27,3,0.99,3.2,46.6
EMP294,76,8.3,14,12,0.82,2.8,55.1
EMP295,68,5.9,24,5,0.56,4.1,41.5
EMP296,70,8.6,3,9,0.84,4.3,57.1
EMP297,74,5.0,10,4,0.66,3.3,44.3
EMP298,83,7.2,18,9,0.84,4.1,55.2
EMP299,97,8.0,14,12,0.53,3.5,54.6
EMP300,94,6.0,3,0,0.59,4.3,51.1
EMP301,89,5.8,20,8,0.93,3.0,54.0
EMP302,90,5.3,12,15,0.61,4.7,51.2
EMP303,64,6.3,21,0,0.92,3.2,47.1
EMP304,73,7.2,18,7,0.64,3.4,47.6
EMP305,70,5.5,1,8,0.82,2.6,49.0
EMP306,68,6.5,13,8,0.85,2.8,49.4
EMP307,93,5.0,28,0,0.76,3.8,48.0
EMP308,71,8.3,3,1,0.65,3.2,50.3
EMP309,94,5.5,15,11,0.61,4.6,51.3
EMP310,94,6.1,20,15,0.52,2.5,48.6
EMP311,60,5.1,19,12,0.65,3.4,41.2
EMP312,99,6.7,13,0,0.83,3.3,56.1
EMP313,81,8.4,26,9,0.97,2.5,56.8
EMP314,88,6.6,28,1,0.94,2.8,52.8
EMP315,67,5.7,14,9,0.88,3.5,49.0
EMP316,70,8.0,27,15,0.89,3.7,54.0
EMP317,100,8.2,2,11,0.83,3.5,63.4
EMP318,96,5.7,7,7,0.63,3.8,52.2
EMP319,73,8.1,15,4,0.95,4.0,56.0
EMP320,89,8.8,9,11,0.84,2.5,60.0
EMP321,94,5.7,3,10,0.78,3.7,55.8
EMP322,80,8.1,29,6,0.56,4.9,49.2
EMP323,96,7.8,17,1,0.72,3.8,55.4
EMP324,64,6.9,1,7,0.73,4.2,49.8
EMP325,78,5.2,16,10,0.93,3.3,51.4
EMP326,73,5.3,12,5,0.77,4.4,47.8
EMP327,85,8.4,3,7,0.69,4.4,57.2
EMP328,63,9.0,25,0,0.99,3.8,53.6
EMP329,84,7.7,24,14,0.56,4.9,51.7
EMP330,84,6.8,29,0,0.71,2.8,47.2
EMP331,77,7.6,10,11,0.52,2.5,48.1
EMP332,99,7.4,6,6,0.87,4.4,61.7
EMP333,67,6.5,30,7,0.96,4.5,50.3
EMP334,98,5.3,11,12,0.64,2.8,51.4
EMP335,99,8.3,9,2,0.93,3.2,62.2
EMP336,73,6.5,6,4,0.65,2.5,46.7
EMP337,91,8.3,12,15,0.96,3.2,63.0
EMP338,97,6.0,30,11,0.88,4.4,56.0
EMP339,92,5.0,6,0,0.9,3.8,53.9
EMP340,82,5.6,30,6,0.51,3.4,42.0
EMP341,74,6.9,23,4,0.98,3.4,52.6
EMP342,92,8.8,16,7,0.86,2.5,59.3
EMP343,84,5.4,9,12,0.65,3.2,49.1
EMP344,76,8.4,28,7,0.91,4.1,55.3
EMP345,92,7.1,9,8,0.64,4.9,55.2
EMP346,61,8.3,23,6,0.94,4.6,53.0
EMP347,73,6.2,3,10,0.56,2.6,46.0
EMP348,99,8.4,19,0,0.85,4.7,60.4
EMP349,99,8.1,3,12,0.77,4.5,62.8
EMP350,98,5.9,21,2,0.55,4.5,49.0
EMP351,65,5.5,6,7,0.62,3.6,43.8
EMP352,65,8.5,21,2,0.51,3.5,44.2
EMP353,62,8.9,0,7,0.73,3.3,52.6
EMP354,66,5.1,11,0,0.65,2.7,40.8
EMP355,67,7.9,23,4,0.8,3.1,49.0
EMP356,74,8.6,12,3,0.65,3.1,50.6
EMP357,88,8.4,9,4,0.65,3.7,55.0
EMP358,92,8.9,14,7,0.87,4.4,61.9
EMP359,89,8.0,26,9,0.52,3.7,50.2
EMP360,98,6.8,12,14,0.95,2.6,60.7
EMP361,86,6.2,22,13,0.93,4.9,56.7
EMP362,95,6.3,21,3,0.83,4.9,55.3
EMP363,88,7.9,21,10,0.8,4.5,57.2
EMP364,97,8.0,20,3,0.95,5.0,61.8
EMP365,92,5.8,21,14,0.59,3.9,49.9
EMP366,96,8.5,27,2,0.54,4.9,53.0
EMP367,86,7.9,8,6,0.62,2.7,52.4
EMP368,92,7.3,25,2,0.9,3.4,55.6
EMP369,63,6.9,8,11,0.52,3.1,44.1
EMP370,81,7.2,14,2,0.79,3.0,51.8
EMP371,61,5.6,9,10,1.0,2.9,50.0
EMP372,69,5.8,23,9,0.93,4.1,49.9
EMP373,64,5.4,25,4,0.76,4.5,43.6
EMP374,69,5.6,24,4,0.53,3.9,40.2
EMP375,92,6.8,28,13,0.92,2.9,56.3
EMP376,97,7.1,9,5,0.8,4.5,58.6
EMP377,72,5.1,7,15,0.56,4.1,45.4
EMP378,90,8.2,23,7,0.55,3.5,51.4
EMP379,95,6.2,15,15,0.95,4.2,60.1
EMP380,83,8.6,16,9,0.83,3.1,57.0
EMP381,74,8.9,25,5,0.91,3.4,55.2
EMP382,88,5.7,26,14,0.94,4.8,55.9
EMP383,67,6.8,4,15,0.79,3.2,51.8
EMP384,64,5.0,3,15,0.76,3.7,47.4
EMP385,88,7.4,17,11,0.72,4.7,55.6
EMP386,63,7.4,23,0,0.66,4.3,44.6
EMP387,71,6.0,18,14,0.72,2.7,47.0
EMP388,61,7.2,3,7,0.89,2.9,51.3
EMP389,86,5.9,27,15,0.8,2.5,50.8
EMP390,90,5.6,6,7,0.95,4.1,57.3
EMP391,95,7.6,9,8,0.72,3.6,57.2
EMP392,95,6.3,24,8,0.8,2.8,53.2
EMP393,85,7.4,17,1,0.82,4.9,55.0
EMP394,86,6.7,18,14,0.8,3.8,54.8
EMP395,64,8.9,3,1,0.85,3.1,53.6
EMP396,79,5.6,9,2,0.62,3.8,46.2
EMP397,70,6.9,0,0,0.76,4.2,50.7
EMP398,69,7.7,22,3,0.55,2.7,43.7
EMP399,99,6.6,17,13,0.69,3.2,55.0
EMP400,97,8.9,4,3,0.74,4.5,61.4
EMP401,65,7.9,14,13,0.83,3.6,52.8
EMP402,67,7.6,16,8,0.98,3.9,54.6
EMP403,82,8.0,2,8,0.8,3.6,57.4
EMP404,85,8.8,11,8,0.87,2.6,58.8
EMP405,71,8.6,1,9,0.75,2.9,54.5
EMP406,85,7.9,0,6,0.82,3.6,58.3
EMP407,72,8.0,22,13,0.54,3.0,47.1
EMP408,99,5.6,20,14,0.63,2.6,51.0
EMP409,77,5.4,16,1,0.68,4.6,46.1
EMP410,84,7.3,21,9,0.74,5.0,54.0
EMP411,92,5.1,15,4,0.52,4.5,46.7
EMP412,99,6.9,4,3,0.57,4.6,54.6
EMP413,71,5.8,14,11,0.64,3.1,45.4
EMP414,95,6.4,2,10,0.99,4.9,63.0
EMP415,63,8.1,27,7,0.67,3.0,45.7
EMP416,64,8.8,6,1,0.74,4.9,52.6
EMP417,96,5.3,10,5,0.6,5.0,51.1
EMP418,67,7.1,9,12,0.81,4.3,52.5
EMP419,87,8.5,8,4,0.64,5.0,56.1
EMP420,90,5.3,13,15,0.6,3.9,50.1
EMP421,68,8.3,12,14,0.76,3.1,52.9
EMP422,88,6.4,28,15,0.5,3.6,47.2
EMP423,73,6.3,24,15,0.5,4.0,44.2
EMP424,99,8.9,29,15,0.61,2.7,56.1
EMP425,100,5.8,24,11,0.52,4.1,49.7
EMP426,81,7.8,1,1,0.55,5.0,51.9
EMP427,70,8.3,2,10,0.67,3.0,52.2
EMP428,82,5.2,6,9,0.9,4.5,54.3
EMP429,60,7.7,20,14,0.79,4.8,50.8
EMP430,96,8.8,17,0,0.76,4.9,59.2
EMP431,80,5.5,2,7,0.65,4.9,50.0
EMP432,85,8.6,9,1,0.97,3.8,60.5
EMP433,95,7.4,21,6,0.7,4.9,55.5
EMP434,82,7.5,28,8,0.54,4.4,48.1
EMP435,60,7.5,6,8,0.81,2.9,49.8
EMP436,99,6.2,8,7,0.56,3.7,52.3
EMP437,74,8.7,16,10,0.67,4.3,53.2
EMP438,80,8.8,10,13,0.75,3.1,56.8
EMP439,68,7.5,6,11,0.94,4.1,56.2
EMP440,68,8.1,23,9,0.75,4.2,50.8
EMP441,69,7.4,27,8,0.85,2.9,49.5
EMP442,85,6.9,13,1,1.0,3.9,57.2
EMP443,100,7.6,18,5,0.57,4.4,54.3
EMP444,94,7.2,3,3,0.64,3.7,54.6
EMP445,84,7.4,25,13,0.7,2.5,51.2
EMP446,85,8.1,5,3,0.71,2.5,54.0
EMP447,70,6.9,9,4,0.71,3.4,48.4
EMP448,97,5.2,6,11,0.95,4.8,59.8
EMP449,61,5.7,12,15,0.86,3.1,48.2
EMP450,66,6.8,13,2,0.8,4.1,48.7
EMP451,77,7.9,3,13,0.65,3.1,53.3
EMP452,86,7.4,7,0,0.91,3.3,56.8
EMP453,93,7.6,4,7,0.98,4.6,63.4
EMP454,86,6.9,0,4,0.91,4.3,58.6
EMP455,76,7.5,3,2,0.5,2.7,46.6
EMP456,83,6.3,2,9,0.82,3.6,54.8
EMP457,84,6.9,8,15,0.53,2.6,49.8
EMP458,66,8.0,7,13,0.63,3.7,50.4
EMP459,65,8.5,0,6,0.53,4.2,49.3
EMP460,83,6.7,26,6,0.8,2.8,50.2
EMP461,92,5.2,5,0,0.84,3.2,52.6
EMP462,88,5.6,8,11,0.56,3.5,48.9
EMP463,81,5.1,6,8,0.69,4.8,49.8
EMP464,85,7.6,3,14,0.73,5.0,58.4
EMP465,87,6.3,12,1,0.68,2.6,49.0
EMP466,80,7.2,16,4,0.56,4.4,48.4
EMP467,66,7.0,27,12,0.71,3.4,46.4
EMP468,76,5.3,1,13,0.88,3.5,53.2
EMP469,79,6.6,27,4,0.54,4.4,44.9
EMP470,100,5.9,4,13,0.54,4.8,54.4
EMP471,79,6.7,11,7,0.68,4.9,51.4
EMP472,81,5.8,26,13,0.97,3.9,53.8
EMP473,87,8.4,20,7,0.83,3.4,57.0
EMP474,99,5.7,7,13,0.84,4.5,59.0
EMP475,66,8.8,5,6,0.68,3.1,51.3
EMP476,60,6.7,7,6,0.8,3.9,48.4
EMP477,91,8.4,17,11,0.51,3.4,52.8
EMP478,72,7.5,2,15,0.82,4.1,56.2
EMP479,89,7.9,21,10,0.96,3.1,59.2
EMP480,82,8.1,11,15,0.81,3.0,57.3
EMP481,78,7.0,28,5,0.94,4.8,53.9
EMP482,91,7.2,25,5,0.86,2.8,54.4
EMP483,89,7.1,2,10,0.56,3.8,53.2
EMP484,88,7.4,21,8,0.95,3.1,57.4
EMP485,88,5.1,5,5,0.53,2.6,45.7
EMP486,89,6.6,1,11,0.77,2.6,55.5
EMP487,75,7.4,22,12,0.57,2.9,47.0
EMP488,99,7.4,11,12,0.51,4.7,55.2
EMP489,78,8.2,1,1,0.71,3.2,53.4
EMP490,77,7.6,5,1,0.65,4.9,51.8
EMP491,60,9.0,16,12,0.74,4.0,51.8
EMP492,73,6.1,2,4,0.79,3.6,50.4
EMP493,61,6.4,1,14,0.52,4.0,45.1
EMP494,87,6.5,22,3,0.56,3.8,47.0
EMP495,89,6.9,29,10,0.78,4.4,53.7
EMP496,97,8.3,19,1,0.67,3.2,54.8
EMP497,63,5.9,7,14,0.86,3.4,49.9
EMP498,60,8.1,21,14,0.83,4.7,52.2
EMP499,67,6.6,11,2,0.92,4.9,52.0
EMP500,88,7.4,25,6,0.85,4.7,56.0
